,Unnamed: 0,States,Years,Quarter,Districts,Transaction_count,Transaction_amount,latitude,longitude
55,55,Andaman & Nicobar,2022,3,south andaman district,1455255,2967720000.0,12.61123865,92.83165406414926
56,56,Andaman & Nicobar,2022,3,nicobars district,49550,131330000.0,12.61123865,92.83165406414926
57,57,Andaman & Nicobar,2022,4,north and middle andaman district,93297,241431000.0,12.61123865,92.83165406414926
58,58,Andaman & Nicobar,2022,4,south andaman district,1835592,3600890000.0,12.61123865,92.83165406414926
59,59,Andaman & Nicobar,2022,4,nicobars district,58646,142356000.0,12.61123865,92.83165406414926
60,60,Andaman & Nicobar,2023,1,north and middle andaman district,152187,392080000.0,12.61123865,92.83165406414926
61,61,Andaman & Nicobar,2023,1,south andaman district,2030078,3867390000.0,12.61123865,92.83165406414926
62,62,Andaman & Nicobar,2023,1,nicobars district,94127,202063000.0,12.61123865,92.83165406414926
63,63,Andaman & Nicobar,2023,2,north and middle andaman district,181149,462415000.0,12.61123865,92.83165406414926
64,64,Andaman & Nicobar,2023,2,south andaman district,2417058,4297740000.0,12.61123865,92.83165406414926
65,65,Andaman & Nicobar,2023,2,nicobars district,109568,230192000.0,12.61123865,92.83165406414926
66,66,Andaman & Nicobar,2023,3,north and middle andaman district,198547,495623000.0,12.61123865,92.83165406414926
67,67,Andaman & Nicobar,2023,3,south andaman district,2771397,4462200000.0,12.61123865,92.83165406414926
68,68,Andaman & Nicobar,2023,3,nicobars district,128432,253772000.0,12.61123865,92.83165406414926
69,69,Andhra Pradesh,2018,1,east godavari district,943935,1235790000.0,15.9240905,80.1863809
70,70,Andhra Pradesh,2018,1,srikakulam district,458921,587778000.0,15.9240905,80.1863809
71,71,Andhra Pradesh,2018,1,spsr nellore district,531612,676643000.0,15.9240905,80.1863809
72,72,Andhra Pradesh,2018,1,vizianagaram district,420990,505783000.0,15.9240905,80.1863809
73,73,Andhra Pradesh,2018,1,visakhapatnam district,1256469,1749970000.0,15.9240905,80.1863809
74,74,Andhra Pradesh,2018,1,prakasam district,534757,748991000.0,15.9240905,80.1863809
75,75,Andhra Pradesh,2018,1,anantapur district,638664,788831000.0,15.9240905,80.1863809
76,76,Andhra Pradesh,2018,1,ysr district,487333,681482000.0,15.9240905,80.1863809
77,77,Andhra Pradesh,2018,1,west godavari district,577090,853548000.0,15.9240905,80.1863809
78,78,Andhra Pradesh,2018,1,kurnool district,679623,764905000.0,15.9240905,80.1863809
79,79,Andhra Pradesh,2018,1,chittoor district,830324,1009620000.0,15.9240905,80.1863809
80,80,Andhra Pradesh,2018,1,guntur district,815932,1108690000.0,15.9240905,80.1863809
81,81,Andhra Pradesh,2018,1,krishna district,863935,1284260000.0,15.9240905,80.1863809
82,82,Andhra Pradesh,2018,2,east godavari district,1221677,2168910000.0,15.9240905,80.1863809
83,83,Andhra Pradesh,2018,2,srikakulam district,559868,929392000.0,15.9240905,80.1863809
84,84,Andhra Pradesh,2018,2,spsr nellore district,780454,1542060000.0,15.9240905,80.1863809
85,85,Andhra Pradesh,2018,2,vizianagaram district,529588,811711000.0,15.9240905,80.1863809
86,86,Andhra Pradesh,2018,2,visakhapatnam district,1641192,2987850000.0,15.9240905,80.1863809
87,87,Andhra Pradesh,2018,2,prakasam district,739991,1571170000.0,15.9240905,80.1863809
88,88,Andhra Pradesh,2018,2,anantapur district,937023,1690370000.0,15.9240905,80.1863809
89,89,Andhra Pradesh,2018,2,ysr district,690842,1415500000.0,15.9240905,80.1863809
90,90,Andhra Pradesh,2018,2,west godavari district,786033,1688030000.0,15.9240905,80.1863809
91,91,Andhra Pradesh,2018,2,kurnool district,968439,1531890000.0,15.9240905,80.1863809
92,92,Andhra Pradesh,2018,2,chittoor district,1185723,1990420000.0,15.9240905,80.1863809
93,93,Andhra Pradesh,2018,2,guntur district,1088101,2108480000.0,15.9240905,80.1863809
94,94,Andhra Pradesh,2018,2,krishna district,1224987,2448140000.0,15.9240905,80.1863809
95,95,Andhra Pradesh,2018,3,east godavari district,3226907,3551250000.0,15.9240905,80.1863809
96,96,Andhra Pradesh,2018,3,srikakulam district,1073883,1318320000.0,15.9240905,80.1863809
97,97,Andhra Pradesh,2018,3,spsr nellore district,1308890,2215940000.0,15.9240905,80.1863809
98,98,Andhra Pradesh,2018,3,vizianagaram district,970132,1163550000.0,15.9240905,80.1863809
99,99,Andhra Pradesh,2018,3,visakhapatnam district,3394576,4821890000.0,15.9240905,80.1863809
100,100,Andhra Pradesh,2018,3,prakasam district,1319651,2346450000.0,15.9240905,80.1863809
